"protein","species","quant","Intensity.03_1x_dda","Intensity.04_2x_dda","Intensity.08_2x_dda","Intensity.11_1x_dda","Intensity.15_1x_dda","Intensity.16_2x_dda","Intensity.19_1x_dda","Intensity.20_2x_dda","Intensity.23_1x_dda","Intensity.24_2x_dda","Intensity.28_2x_dda","Intensity.31_1x_dda","Intensity.35_1x_dda","Intensity.36_2x_dda","Intensity.39_1x_dda","Intensity.40_2x_dda"
"sp|P04080|CYTB_HUMAN","human","dda",56391200,76990218.4661563,57447187.6701078,56128033.3330223,60825507.8933877,43593068.1612916,58356864.5732998,56615882.3590862,53903415.5545413,88572143.2667609,69288739.7539498,71823780.5366009,56507605.2668662,55517611.7590206,67833156.0751424,57688366.9123024
"sp|P04179|SODM_HUMAN","human","dda",8080000,6731153.17330288,8076250.72595407,6617275.34851388,7204307.61174367,6267679.5196247,2430446.73824841,7396025.92393617,4828732.3074649,3773417.04208935,10148843.0985906,2064644.50078327,4058660.44199445,5412450.48935601,4693793.17958676,8709020.53327139
"sp|P04181|OAT_HUMAN","human","dda",81542600,90850208.7784834,74038103.7033032,89409408.7335395,82084557.057018,108368848.251002,82131205.1780193,101716709.898069,103191059.365496,98543717.3043524,89046451.2234268,56817852.3670929,92738508.6418654,73635045.3916096,77527371.3054836,72972832.5757461
"sp|P04183|KITH_HUMAN","human","dda",2202500,7800740.73743615,2956257.97783172,NA,6563826.55490564,7722169.5421697,3957916.45709236,8135662.14380057,1660519.69554092,NA,1162318.48166859,3620334.06782568,1700435.78084616,2449764.10590691,1530654.77191924,5142977.25897103
"sp|P04264|K2C1_HUMAN","human","dda",55808000,102775597.048397,36701428.5756854,32555736.2043853,16878411.1411859,30922808.0043449,41602090.328902,33983921.9729467,101181721.296152,39388393.5317621,48293364.4919618,55915335.7614718,69374433.267043,25371185.8764043,38199004.0860518,16699959.2014204
"sp|P04406|G3P_HUMAN","human","dda",3439763400,3142488108.23483,3982826324.10234,3940486155.26469,3854512933.70648,3440201963.43937,3871093098.68593,3247121205.76452,4050101927.31566,3870365530.0009,4378815228.94973,3197714111.84294,3481284645.33317,4119064678.34003,2905912839.79084,4090230750.43568
"sp|P04632|CPNS1_HUMAN","human","dda",19417100,19950864.659348,14536991.5404693,18794994.3666065,11978371.3773578,14721139.6354842,6665729.10438217,10206357.7259192,12856751.6517624,10683206.2077648,14890255.4011512,15788435.7827941,12780918.5481504,10214457.070731,12031329.2197936,14646218.448795
"sp|P04792|HSPB1_HUMAN","human","dda",2689765800,2374794963.5761,2573353330.18987,2746591316.69848,2603170702.59985,3068405656.38382,3057582522.30299,2646058076.32539,3016229614.76126,2571963738.41207,2707316648.46549,2777358312.95578,2349823798.26052,2278943246.84833,2643447429.99497,2401413693.70935
"sp|P04843|RPN1_HUMAN","human","dda",161204500,144484708.839468,139654455.763253,175750271.15668,137824885.145123,178405727.797501,134736571.67626,119474133.001968,181179264.739728,164146258.427437,138568721.147614,126354095.720287,167877466.139882,186424444.42449,159166383.202596,158681810.40987
"sp|P04844|RPN2_HUMAN","human","dda",80478000,84340876.581943,61918945.5538976,38065945.1203604,73074143.3462566,68046609.948541,59108227.01188,70861908.1501252,58069827.781617,53666966.9796765,56277275.0170193,63001989.2170072,63944119.2511026,52481089.0517594,47737381.1261304,52843976.1602646
